Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Secondary Sponsor,Sponsor (combined),This Committee Recommendation
SB 5329,fo,Energy site eval. council,S Rules X,,3/18/19,Nguyen,,HB 1332(H subst for),,,Palumbo,Nguyen,
SB 5330,,Small forest landowners,S subst for,,2/27/19,Braun,,HB 1273(H Approps),,,Van De Wege,Braun,
SB 5331,f,Long-term services & support,S Ways & Means,,1/31/19,Palumbo,,HB 1087(H subst for),,,Honeyford,Palumbo,
SB 5332,fd#,Vital statistics,S subst for,,3/4/19,Pedersen,,HB 1550(H HC/Wellness),,,Rivers,Pedersen,
SB 5333,,Uniform parentage act,S subst for,,2/13/19,Pedersen,,,,,Rivers,Pedersen,
ESB 5334,a,Common interest ownership,C 238 L 19,,4/30/19,Pedersen,,HB 1306(H Civil R & Judi),47-0-0-2,,Padden,Pedersen,
SB 5335,fo,Retirement benefits/death,S Ways & Means,,1/17/19,Bailey,,HB 1414(H Approps),,,Hobbs,Bailey,
SB 5336,fe#,Electric transportation,S Ways & Means,,3/7/19,Palumbo,,HB 1664(H Env & Energy),,,Carlyle,Palumbo,
SB 5337,f,Sales & use tax exemptions,C 188 L 19,,4/29/19,Takko,,,98-0-0-0,,Holy,Takko,
SB 5338,fd,Vulnerable adults,S Rules 2,,2/27/19,Darneille,,HB 1422(H Rules C),,,Rivers,Darneille,
SB 5339,d,Death penalty elimination,S Rules 3,,4/28/19,Carlyle,,HB 1488(H Public Safety),28-19-0-2,,Walsh,Carlyle,
SB 5340,d,Assault weapons ban,S Law & Justice,,1/17/19,Kuderer,,HB 1286(H Civil R & Judi),,,Dhingra,Kuderer,
SB 5341,,Higher ed. child care,S Ways & Means,,1/31/19,Randall,,,,,"Wilson, C.",Randall,
SB 5342,f,Nonbinary gender category,S State Govt/Tri,,1/17/19,Randall,,,,,"Wilson, C.",Randall,
SB 5343,,High school success,S Ways & Means,,2/22/19,Mullet,,,,,Rivers,Mullet,
SB 5344,,Nursing fatigue,S Rules X,,3/18/19,Cleveland,,,,,O'Ban,Cleveland,
SB 5345,f,Contralateral mastectomy,S Health & Long,,1/17/19,Cleveland,,HB 1968(H HC/Wellness),,,Rivers,Cleveland,
SB 5346,f,Life insurance/last illness,S Financial Inst,,1/17/19,Sheldon,,,,,Randall,Sheldon,
SB 5347,f#,Electric utilities/climate,"S Environment, E",,1/18/19,Ericksen,,,,,,Ericksen,
SB 5348,f#,"Schools, etc. constr./taxes",S Ways & Means,,1/18/19,Ericksen,,,,,,Ericksen,
SB 5349,,Products identified as milk,S Ag/Water/Natura,,1/18/19,Ericksen,,,,,,Ericksen,
SB 5350,fo,Optional life annuity,C 189 L 19,,4/29/19,Conway,,HB 1413(H Rules 3C),89-9-0-0,,Bailey,Conway,
SB 5351,f#,Juvenile sex offense regist.,S Rules X,,3/18/19,Darneille,,,,,,Darneille,
SB 5352,f#,Walla Walla watershed pilot,S subst for,,3/5/19,Walsh,,HB 1013(H Rules C),,,Warnick,Walsh,
SB 5353,f#,Redevelopment/density,S Ways & Means,,2/20/19,Zeiger,,,,,Conway,Zeiger,
SB 5354,f,Highly capable student prgs.,S subst for,,3/12/19,Rivers,,HB 1641(H Approps),,,Rolfes,Rivers,
SB 5355,fo,LEOFF credit recovery/PERS,S subst for,,3/7/19,Holy,,HB 1297(H Approps),,,Van De Wege,Holy,
SB 5356,f,LGBTQ commission,S subst for,,3/6/19,"Wilson, C.",,HB 2065(H State Govt & T),,,Randall,"Wilson, C.",
SB 5357,f#,Affordable housing taxes,S Ways & Means,,2/14/19,Darneille,,HB 1493(H Finance),,,Kuderer,Darneille,
SB 5358,f#,Housing dev./religious orgs.,S Rules X,,3/18/19,Saldaña,,HB 1377(H subst for),,,Fortunato,Saldaña,
SB 5359,fd,Supported living/investigate,Del to Gov,,4/29/19,Cleveland,,HB 1421(H Rules R),97-0-0-1,,Rivers,Cleveland,
SB 5360,afo,Retirement system defaults,Del to Gov,,4/29/19,Conway,,HB 1308(H subst for),36-13-0-0,,Hobbs,Conway,
SB 5361,f,Low-income housing dev. cost,S Rules X,,3/18/19,Zeiger,,,,,Kuderer,Zeiger,
SB 5362,f#,Deferred prosec./nonpayment,S subst for,,4/25/19,"Wilson, L.",,,,,Hobbs,"Wilson, L.",
SB 5363,f#,Urban center dwellings/taxes,S subst for,,3/12/19,Palumbo,,,,,Wagoner,Palumbo,
SB 5364,f#,Death penalty,S Law & Justice,,1/18/19,Wagoner,,HB 1709(H Public Safety),,,King,Wagoner,
SB 5365,,Vaccination/antibody testing,S Ways & Means,,2/22/19,Wagoner,,HB 1019(H HC/Wellness),,,Padden,Wagoner,
SB 5366,f#,Urban centers/multiple-units,S subst for,,3/12/19,Wagoner,,,,,Mullet,Wagoner,
SB 5367,f,Military friendly schools,S Rules 3,,4/28/19,Wagoner,,,49-0-0-0,,Bailey,Wagoner,
SB 5368,f,DNR roads/private property,S Ways & Means,,2/8/19,Wagoner,,,,,Warnick,Wagoner,
SB 5369,,Owner compensation/wells,S Ag/Water/Natur,,1/18/19,Wagoner,,,,,Bailey,Wagoner,
SB 5370,f,Aviation coordinating comm'n,S subst for,,3/11/19,Keiser,,HB 1683(H Rules R),,,Warnick,Keiser,
SB 5371,f,Insulin drug prices,S Health & Long,,1/18/19,Keiser,,,,,Kuderer,Keiser,
SB 5372,#,Local project review,S Rules X,,3/18/19,Palumbo,,,,,Honeyford,Palumbo,
SB 5373,f#,Health care employees,S Labor & Commer,,1/18/19,Conway,,,,,Saldaña,Conway,
SB 5374,f,Rest and meal periods,S Labor & Commer,,1/18/19,Conway,,,,,Keiser,Conway,
SB 5375,fd,Capital budget/public art,S Rules 3,,4/28/19,Wellman,,HB 1318(Del to Gov),47-0-0-2,,Hawkins,Wellman,
SB 5376,f#,Consumer data,S subst for,,3/6/19,Carlyle,,HB 1854(H Rules R),,,Palumbo,Carlyle,
SB 5377,f#,Data sales and governance,S Ways & Means,,2/21/19,Carlyle,,,,,Palumbo,Carlyle,
SB 5378,f,Personal delivery devices,S Rules X,,3/18/19,Liias,,HB 1325(H subst for),,,Wellman,Liias,
SB 5379,,"Parenting minors, supports",S Ways & Means,,2/14/19,"Wilson, C.",,HB 1327(H Approps),,,Nguyen,"Wilson, C.",
SB 5380,fe#,Opioid use disorder,S subst for,,3/7/19,Cleveland,,HB 1331(H Rules C),,,Rivers,Cleveland,
SB 5381,,Water & sewer contracting,S Local Governme,,1/18/19,Takko,,,,,Short,Takko,
SB 5382,#,Tiny houses as ADUs,S Rules X,,3/18/19,Zeiger,,,,,Palumbo,Zeiger,
SB 5383,f#,Tiny houses,S subst for,,3/6/19,Zeiger,,,,,Palumbo,Zeiger,
SB 5384,f#,Tiny house comm. locations,S Rules X,,3/18/19,Zeiger,,,,,Palumbo,Zeiger,
SB 5385,f,Telemedicine payment parity,S subst for,,3/13/19,Becker,,,,,Cleveland,Becker,
SB 5386,f,Telemedicine training,S subst for,,3/4/19,Becker,,,,,Cleveland,Becker,
SB 5387,,Physician telemedicine cred.,C 49 L 19,,4/17/19,Becker,,,93-0-0-5,,Cleveland,Becker,
SB 5388,f,Campaign treasurers training,S subst for,,3/8/19,Becker,,,,,Bailey,Becker,
SB 5389,f,Telehealth program/youth,S subst for,,3/13/19,Becker,,,,,Cleveland,Becker,
SB 5390,f#,Property tax/residences,S Ways & Means,,1/18/19,Becker,,,,,Walsh,Becker,
SB 5391,f#,Drug production disclosure,S Rules X,,3/18/19,Zeiger,,,,,Mullet,Zeiger,
SB 5392,f,Dental therapists,S Health & Long,,1/18/19,Frockt,,HB 1317(H Rules R),,,Rivers,Frockt,
SB 5393,fe,College promise scholarship,S subst for,,3/9/19,Palumbo,,HB 1340(H Approps),,,Rolfes,Palumbo,
SB 5394,f,Liquor licensees/web sites,S subst for,,3/7/19,King,,,,,Conway,King,
SB 5395,fo,Sexual health education,S subst for,,2/27/19,"Wilson, C.",,HB 1407(H Education),,,Randall,"Wilson, C.",
SB 5396,f,"Adult family homes, 8 beds",S Health & Long,,1/18/19,Keiser,,HB 1023(H subst for),,,Walsh,Keiser,
SB 5397,f#,Plastic packaging,S subst for,,3/8/19,Rolfes,,HB 1204(H Env & Energy),,,Carlyle,Rolfes,
SB 5398,f,Unemployment/apprentices,C 50 L 19,,4/17/19,Keiser,,HB 1438(H Labor & Workpl),96-0-0-2,,King,Keiser,
SB 5399,,Child relocation,S subst for,,2/25/19,Pedersen,,,,,Walsh,Pedersen,
SB 5400,fo,PERS/TRS 1 benefit increase,S Ways & Means,,1/21/19,Conway,,HB 1390(H Rules R),,,Bailey,Conway,
SB 5401,,Health care whistleblowers,S Health & Long,,1/21/19,Keiser,,HB 1049(H subst for),,,Rivers,Keiser,
SB 5402,f#,Tax and licensing laws,S Rules X,,3/18/19,Schoesler,,,,,Rolfes,Schoesler,
SB 5403,fd,Adult family home egress,S subst for,,3/4/19,Bailey,,HB 1423(H Rules 3C),,,Darneille,Bailey,
SB 5404,f,Fish habitat projects,C 150 L 19,,4/26/19,Rolfes,,,93-0-0-5,,Honeyford,Rolfes,
SB 5405,,Organ transplant nondiscrim.,S subst for,,3/8/19,Padden,,,,,Randall,Padden,
SB 5406,f,Small winery tax relief,S Ways & Means,,2/14/19,Warnick,,HB 1243(H Finance),,,Wagoner,Warnick,
SB 5407,f#,Scan-down allowances,S Rules,,4/28/19,Mullet,,EHB 1354(C 217 L 19),,,Conway,Mullet,
SB 5408,fo,Insurance fraud surcharge,S Financial Inst,,1/21/19,Mullet,,,,,Das,Mullet,
SB 5409,f,Marijuana licenses,S Labor & Commer,,1/21/19,Palumbo,,HB 1236(H Approps),,,Rivers,Palumbo,
SB 5410,f,"Credit policy/AP, IB, CAIE",S subst for,,3/1/19,Mullet,,,,,Rivers,Mullet,
SB 5411,f,Physician assistants,S Health & Long,,1/21/19,Kuderer,,,,,Honeyford,Kuderer,
SB 5412,f,Greenhouse gas/transp. fuels,"S Environment, E",,1/21/19,Saldaña,,HB 1110(H subst for),,,Carlyle,Saldaña,
SB 5413,f,Pipeline for paraeducators,S Ways & Means,,2/19/19,Keiser,,,,,King,Keiser,
SB 5414,f,School employee leave cap,S EL/K-12,,1/21/19,Hunt,,HB 1409(H Approps),,,Van De Wege,Hunt,
SB 5415,af,Indian health improvement,Del to Gov,,4/25/19,McCoy,,HB 1365(H HC/Wellness),42-0-0-7,,Rivers,McCoy,
SB 5416,fo,Gambling self-exclusion,S Rules X,,3/18/19,Conway,,HB 1302(H subst for),,,Walsh,Conway,
SB 5417,f,Military surplus vehicles,S Rules X,,3/18/19,Padden,,HB 1993(H Trans),,,Hobbs,Padden,
SB 5418,,Local government procurement,S subst for,,3/8/19,Takko,,HB 1359(H Rules C),,,Zeiger,Takko,
SB 5419,f#,Vehicle service fee adjust.,S Rules,,4/28/19,Hobbs,,,,,Warnick,Hobbs,
SB 5420,f#,Discover pass penalty dist.,S Ag/Water/Natur,,1/21/19,King,,HB 1293(H Approps),,,Takko,King,
SB 5421,f,Access to pharmacy services,S Health & Long,,1/21/19,Kuderer,,,,,Short,Kuderer,
SB 5422,f,Pharmacy benefit managers,S Health & Long,,1/21/19,Kuderer,,,,,Short,Kuderer,
SB 5423,f#,"Rural development, zones",S Ways & Means,,2/1/19,Palumbo,,HB 1324(H subst for),,,Warnick,Palumbo,
SB 5424,f#,Transit density standards,S Housing Stabil,,1/30/19,Palumbo,,,,,Liias,Palumbo,
SB 5425,fd#,Maternal mortality reviews,S subst for,,3/6/19,Cleveland,,HB 1369(H HC/Wellness),,,Keiser,Cleveland,
SB 5426,f,Hydrofluorocarbon emissions,S Rules X,,3/18/19,Mullet,,HB 1112(H subst for),,,Palumbo,Mullet,
SB 5427,fo,Dual credit programs,S EL/K-12,,1/21/19,Wellman,,HB 1164(H Education),,,Hasegawa,Wellman,
SB 5428,f,Higher ed./veteran health,S subst for,,3/7/19,"Wilson, L.",,HB 1716(H Approps),,,Palumbo,"Wilson, L.",
ESB 5429,af#,Referred and diverted youth,Del to Gov,,4/26/19,Nguyen,,HB 1246(H Approps),47-0-0-2,,Das,Nguyen,
SB 5430,f,Postretirement options,S Ways & Means,,1/21/19,Conway,,HB 1388(H Approps),,,Hunt,Conway,
SB 5431,fe,Behavioral health facilities,S Rules X,,3/18/19,Frockt,,HB 1394(H subst for),,,Rivers,Frockt,
SB 5432,fe#,"Behavioral health, integrate",S subst for,,3/7/19,Dhingra,,HB 1393(H Rules C),,,Rivers,Dhingra,
SB 5433,f,DOC/postsecondary education,S subst for,,3/6/19,"Wilson, C.",,,,,Nguyen,"Wilson, C.",
SB 5434,,Weapons in certain locations,S subst for,,3/11/19,"Wilson, C.",,HB 1530(H Civil R & Judi),,,Hunt,"Wilson, C.",
SB 5435,,DCYF oversight board members,S Rules 3,,4/28/19,"Wilson, C.",,,49-0-0-0,,Darneille,"Wilson, C.",
SB 5436,,Child care access work group,S Ways & Means,,1/31/19,"Wilson, C.",,HB 1344(H subst for),,,Frockt,"Wilson, C.",
SB 5437,e,ECEAP eligibility,S subst for,,3/6/19,"Wilson, C.",,HB 1351(H Rules R),,,Palumbo,"Wilson, C.",
SB 5438,fd,H-2A agricultural program,S subst for,,3/6/19,McCoy,,HB 1398(H Labor & Workpl),,,Saldaña,McCoy,
ESB 5439,fd,Employment security records,C 81 L 19,,4/19/19,Keiser,,HB 1400(H Rules R),94-0-0-4,,King,Keiser,
SB 5440,f#,Housing element/GMA,S Ways & Means,,2/22/19,Palumbo,,,,,Nguyen,Palumbo,
SB 5441,f,Rental vouchers/offenders,S subst for,,3/12/19,Nguyen,,,,,"Wilson, C.",Nguyen,
SB 5442,,Medical marijuana/students,S EL/K-12,,1/21/19,Takko,,HB 1095(H subst for),,,Rivers,Takko,
SB 5443,,Engineers and land surveyors,S subst for,,3/8/19,Van De Wege,,,,,Zeiger,Van De Wege,
SB 5444,fe#,Forensic mental health care,S subst for,,3/7/19,Dhingra,,HB 1513(H Rules R),,,O'Ban,Dhingra,
SB 5445,f,Special event liquor sales,S Labor & Commer,,1/21/19,Cleveland,,,,,Rivers,Cleveland,
SB 5446,f,Electronic prescriptions,S Health & Long,,1/21/19,Mullet,,,,,Rivers,Mullet,
SB 5447,fd,Dairy milk assessment fee,S Rules 3,,4/28/19,Van De Wege,,HB 1429(C 115 L 19),46-0-3-0,,Warnick,Van De Wege,
SB 5448,,CTE/alt. learning exp. prgs.,S EL/K-12,,1/21/19,Wellman,,HB 1304(H subst for),,,Hunt,Wellman,
SB 5449,fd,Paid family & medical leave,S Rules X,,3/18/19,Keiser,,HB 1399(H subst for),,,King,Keiser,
SB 5450,fo,Adding superior court judges,S Rules X,,3/18/19,Rivers,,,,,"Wilson, L.",Rivers,
SB 5451,f,Hydraulic projects,S Ag/Water/Natur,,1/21/19,King,,,,,,King,
SB 5452,f#,Health sciences auths/taxes,S Ways & Means,,1/21/19,King,,HB 1659(H Finance),,,Cleveland,King,
ESB 5453,a,Irrigation district admin.,Del to Gov,,4/29/19,Takko,,,48-0-0-1,,Short,Takko,
SB 5454,,Geriatric behavioral health,S Health & Long,,1/21/19,Keiser,,HB 1349(C 12 L 19),,,Bailey,Keiser,
SB 5455,fd,FDA nonpublic information,S State Govt/Tri,,1/21/19,Takko,,HB 1385(Del to Gov),,,Warnick,Takko,
SB 5456,,American or recycled steel,S Transportation,,2/22/19,Keiser,,HB 1570(H Cap Budget),,,Conway,Keiser,
SB 5457,f,Naming of subcontractors,S Rules X,,3/18/19,Keiser,,HB 1571(H Cap Budget),,,Saldaña,Keiser,
SB 5458,f,Building trades apprentices,S Rules X,,3/18/19,Hobbs,,HB 1418(H Coll & Wkf Dev),,,Wagoner,Hobbs,
SB 5459,fd,Nonresident pharmacies,S Health & Long,,1/21/19,Cleveland,,HB 1412(C 25 L 19),,,Frockt,Cleveland,
SB 5460,f,Nurse licensure compact,S Health & Long,,1/21/19,Cleveland,,HB 1882(H HC/Wellness),,,Bailey,Cleveland,
SB 5461,f#,Child sexual abuse investig.,S subst for,,2/25/19,Cleveland,,HB 1595(H subst for),,,Darneille,Cleveland,
SB 5462,f,Driver's license suspension,S Law & Justice,,1/22/19,Takko,,,,,Zeiger,Takko,
SB 5463,f,Impounded vehicles/military,S Transportation,,1/22/19,Warnick,,HB 1410(H Trans),,,Takko,Warnick,
SB 5464,f,Opioid overdose med./schools,S Ways & Means,,2/22/19,Frockt,,,,,Das,Frockt,
SB 5465,o,Basic education funding,S Ways & Means,,2/22/19,Wellman,,,,,Pedersen,Wellman,
SB 5466,fo,School district levies,S EL/K-12,,1/22/19,Wellman,,,,,"Wilson, C.",Wellman,
SB 5467,f,Tax preferences/mass timber,S Rules 3,,4/28/19,Liias,,HB 1443(H Finance),48-1-0-0,,Short,Liias,
SB 5468,fd,Weights and measures program,S Rules X,,3/18/19,Van De Wege,,HB 1298(H subst for),,,McCoy,Van De Wege,
SB 5469,f#,PEBB retiree premiums,S Ways & Means,,1/22/19,Hunt,,HB 1085(H Approps),,,Hasegawa,Hunt,
SB 5470,fd,Homeless youth services,S Rules X,,3/18/19,Kuderer,,HB 1657(C 124 L 19),,,Zeiger,Kuderer,
SB 5471,fd,Elevators,S subst for,,2/13/19,King,,HB 1487(H Rules C),,,Keiser,King,
SB 5472,f,Liquor common carriers,S Labor & Commer,,1/22/19,Saldaña,,HB 1389(H Approps),,,Walsh,Saldaña,
SB 5473,f,Unempl benefits/family resp,S Labor & Commer,,1/22/19,Saldaña,,HB 1445(H Rules R),,,Nguyen,Saldaña,
SB 5474,,Industrial ins/self-insurers,S subst for,,3/5/19,Keiser,,,,,,Keiser,
SB 5475,,Migrant ed./credit retrieval,S EL/K-12,,1/22/19,Zeiger,,,,,Saldaña,Zeiger,
SB 5476,,Composting/nuisance lawsuits,S Ag/Water/Natur,,1/22/19,Kuderer,,HB 1167(H Rules C),,,Warnick,Kuderer,
SB 5477,f,Higher ed. application fees,S Ways & Means,,2/4/19,Dhingra,,,,,Hasegawa,Dhingra,
SB 5478,,Noncompetition covenants,S subst for,,3/5/19,Liias,,HB 1450(H subst for),,,Keiser,Liias,
SB 5479,f,State credit union act,S Rules X,,3/18/19,Mullet,,HB 1247(C 19 L 19),,,"Wilson, L.",Mullet,
SB 5480,f,Real estate appraisers,S subst for,,2/27/19,Brown,,,,,Conway,Brown,
SB 5481,,DFW officer bargaining,S Labor & Commer,,1/22/19,Warnick,,HB 1217(H Labor & Workpl),,,Sheldon,Warnick,
SB 5482,fd,Medical marijuana auth db,S Ways & Means,,1/22/19,Randall,,HB 1415(H subst for),,,Keiser,Randall,
SB 5483,f,Dev. disability services,S subst for,,3/13/19,Braun,,,,,Keiser,Braun,
SB 5484,f,Early achievers program,S Rules X,,3/18/19,"Wilson, C.",,HB 1391(H subst for),,,Billig,"Wilson, C.",
SB 5485,f,Music therapists,S subst for,,3/6/19,Darneille,,,,,Cleveland,Darneille,
SB 5486,,Dwarfism/exploitation,S Rules X,,3/18/19,Padden,,,,,Kuderer,Padden,
SB 5487,f,Personal caregiver access,S Rules X,,3/18/19,Padden,,,,,Kuderer,Padden,
SB 5488,f,"Sentencing, persons under 21",S subst for,,3/4/19,Darneille,,,,,Saldaña,Darneille,
SB 5489,,Environmental justice,S subst for,,3/8/19,Saldaña,,,,,Das,Saldaña,
SB 5490,f,Life sciences discovery fund,C 83 L 19,,4/19/19,Frockt,,HB 1335(H Rules 3C),94-0-0-4,,Brown,Frockt,
SB 5491,,Persist. offenders/juvenile,S Law & Justice,,1/23/19,Darneille,,,,,Saldaña,Darneille,
SB 5492,f#,Motor vehicle felonies,S subst for,,3/5/19,Billig,,,,,Padden,Billig,
SB 5493,f,DSHS board of advisors,S Ways & Means,,2/14/19,Zeiger,,,,,Darneille,Zeiger,
SB 5494,f,Baby court initiative,S Ways & Means,,2/8/19,Zeiger,,,,,Darneille,Zeiger,
SB 5495,f#,Social media extortion,S Law & Justice,,1/23/19,Zeiger,,,,,Nguyen,Zeiger,
ESB 5496,,Boundary line modification,S Rules 3,,4/28/19,Zeiger,,,44-4-0-1,,Hunt,Zeiger,
SB 5497,f#,Immigrants in the workplace,S subst for,,3/7/19,Wellman,,HB 1815(H Rules R),,,Nguyen,Wellman,
SB 5498,f,Medical marijuana renewals,S Ways & Means,,2/14/19,Takko,,HB 1094(H subst for),,,Nguyen,Takko,
SB 5499,fd,Voters' pamphlets,S Ways & Means,,2/21/19,Kuderer,,HB 1482(H State Govt & T),,,Zeiger,Kuderer,
SB 5500,fd#,Election costs & postage,S State Govt/Tri,,1/23/19,Hunt,,HB 1481(H State Govt & T),,,Zeiger,Hunt,
SB 5501,fd#,Electronic authentication,S Rules 3,,4/28/19,Zeiger,,HB 1908(C 132 L 19),47-0-0-2,,Hunt,Zeiger,
SB 5502,fd,Redistricting deadlines,S subst for,,3/4/19,Zeiger,,HB 1494(H Rules C),,,Hunt,Zeiger,
SB 5503,f#,On-site sewage systems,C 21 L 19,PV,4/17/19,Das,,HB 1338(H Env & Energy),93-0-0-5,,Fortunato,Das,
SB 5504,f,Peer-reviewed journal access,S Ways & Means,,2/22/19,Warnick,,HB 1363(H Approps),,,Sheldon,Warnick,
SB 5505,f#,Local stormwater charges,Del to Gov,,4/29/19,Hobbs,,HB 2125(H Trans),68-30-0-0,,King,Hobbs,
SB 5506,af,Parking at rest areas,Del to Gov,,4/29/19,Hobbs,,,42-6-0-1,,King,Hobbs,
SB 5507,fd,Hanford workers/cancer,S Rules X,,3/18/19,Keiser,,HB 1490(C 108 L 19),,,Conway,Keiser,
SB 5508,afd#,Concealed pistol licenses,Del to Gov,,4/25/19,Fortunato,,HB 1464(H Civil R & Judi),47-0-0-2,,Darneille,Fortunato,
SB 5509,fd#,Election candidate names,S Rules X,,3/18/19,Zeiger,,HB 1442(H Rules R),,,Hunt,Zeiger,
SB 5510,,Dev. disability serv. choice,S Health & Long,,1/23/19,Walsh,,HB 1535(H H Svcs & Erly),,,Brown,Walsh,
SB 5511,fe#,Broadband service,S subst for,,3/6/19,Wellman,,HB 1498(H subst for),,,Sheldon,Wellman,
SB 5512,fo,Teacher prep. skills assess.,S Rules X,,3/18/19,McCoy,,HB 1621(H subst for),,,Wellman,McCoy,
SB 5513,f,Employer-employee status,S Labor & Commer,,1/23/19,Keiser,,HB 1515(H Rules R),,,Conway,Keiser,
SB 5514,f#,School threats notification,S subst for,,3/5/19,Padden,,,,,Wellman,Padden,
SB 5515,f#,Public facilities/recreation,S Rules X,,3/18/19,Walsh,,HB 1499(Del to Gov),,,Takko,Walsh,
SB 5516,fe,UW behavioral health campus,S Ways & Means,,2/22/19,Cleveland,,HB 1593(H subst for),,,Becker,Cleveland,
SB 5517,f,Ambulance quality fee,S Health & Long,,1/23/19,Cleveland,,HB 1553(H HC/Wellness),,,Sheldon,Cleveland,
SB 5518,,Tax foreclosure/as-is sale,S Rules 3,,4/28/19,Cleveland,,HB 1634(C 28 L 19),47-0-0-2,,King,Cleveland,
SB 5519,,Mosquito control districts,S Rules 3,,4/28/19,Cleveland,,HB 1583(H Rules 3C),48-0-0-1,,King,Cleveland,
SB 5520,,Urban growth areas,S Local Governme,,1/23/19,"Wilson, L.",,HB 1506(H Env & Energy),,,Takko,"Wilson, L.",
SB 5521,f,Connecting Washington funds,S Transportation,,1/23/19,Takko,,HB 1508(H Trans),,,Zeiger,Takko,
SB 5522,,City annexing/interlocal ag.,S Rules X,,3/18/19,Takko,,,,,,Takko,
SB 5523,f,Medicaid managed care perf.,S subst for,,3/13/19,Braun,,,,,Rivers,Braun,
SB 5524,f,GMA/agency obligations,S Ways & Means,,2/22/19,Short,,,,,"Wilson, L.",Short,
SB 5525,f,Whitetail deer population,S subst for,,3/5/19,Short,,,,,,Short,
SB 5526,fe,Individual health ins market,S subst for,,3/13/19,Frockt,,HB 1523(H subst for),,,Cleveland,Frockt,
SB 5527,,Procurement/automated system,"S Environment, E",,1/23/19,Hasegawa,,HB 1655(H Approps),,,Nguyen,Hasegawa,
SB 5528,,Facial recognition tech.,"S Environment, E",,1/23/19,Hasegawa,,HB 1654(H Rules R),,,Saldaña,Hasegawa,
SB 5529,f#,License plate recognition,S Law & Justice,,1/29/19,Saldaña,,HB 1663(H Trans),,,Hobbs,Saldaña,
SB 5530,,Medical debt,S Law & Justice,,1/23/19,Frockt,,HB 1531(H subst for),,,Kuderer,Frockt,
SB 5531,,SNAP criminal penalties,S Law & Justice,,1/23/19,Padden,,,,,,Padden,
SB 5532,f,Special education,S subst for,,3/9/19,Braun,,,,,Rolfes,Braun,
SB 5533,,Parental improvement certs.,S Rules X,,3/18/19,Braun,,HB 1645(H Approps),,,Darneille,Braun,
SB 5534,,ECEAP outcomes study,S EL/K-12,,1/23/19,Braun,,,,,,Braun,
SB 5535,,Child care costs,S EL/K-12,,1/23/19,Braun,,,,,,Braun,
SB 5536,f,Intellectual disability care,S subst for,,3/13/19,Braun,,,,,Keiser,Braun,
SB 5537,f#,Behavioral health facilities,S Rules,,4/28/19,Braun,,,,,Keiser,Braun,
SB 5538,f,Higher education free speech,S Ways & Means,,2/21/19,Braun,,,,,Fortunato,Braun,
SB 5539,f,Family & med. leave/coverage,S Labor & Commer,,1/23/19,Braun,,,,,,Braun,
SB 5540,f#,Projects of statewide signif,S State Govt/Tri,,1/23/19,Braun,,,,,"Wilson, L.",Braun,
SB 5541,f#,Revenue reform task force,S Ways & Means,,1/23/19,Hasegawa,,,,,Darneille,Hasegawa,
SB 5542,,Patient care/health entities,S Health & Long,,1/23/19,Kuderer,,HB 1608(H Rules C),,,Randall,Kuderer,
SB 5543,f,Productive farmland,S Ways & Means,,2/22/19,Takko,,HB 1733(H Approps),,,,Takko,
SB 5544,f,Veterans/CDL waivers,S subst for,,2/27/19,Hobbs,,,,,King,Hobbs,
SB 5545,fd#,Recycling,S Rules X,,3/18/19,Das,,HB 1543(H subst for),,,Rolfes,Das,
SB 5546,$f,Enhanced 211 drug line,S Health & Long,,1/23/19,Conway,,,,,Zeiger,Conway,
SB 5547,f,Marbled murrelet strategy,S Ways & Means,,2/22/19,Van De Wege,,HB 1546(H Approps),,,Braun,Van De Wege,
SB 5548,o,High school diploma pathways,S Rules X,,3/18/19,Wellman,,,,,Hunt,Wellman,
SB 5549,f,Distillery marketing & sales,S subst for,,4/10/19,Liias,,HB 1411(H Commerce & Gam),,,King,Liias,
SB 5550,f,Pesticide application safety,S subst for,,3/8/19,Saldaña,,HB 1725(H subst for),,,Warnick,Saldaña,
SB 5551,af#,Courthouse dog assistance,Del to Gov,,4/29/19,Dhingra,,,48-0-0-1,,Palumbo,Dhingra,
SB 5552,f#,Native pollinators,S subst for,,3/8/19,Liias,,,,,Warnick,Liias,
SB 5553,f#,Fitness center safety,S Ways & Means,,2/20/19,Hunt,,,,,,Hunt,
SB 5554,,School notifications,S EL/K-12,,1/23/19,"Wilson, C.",,HB 1191(H Rules R),,,Nguyen,"Wilson, C.",
SB 5555,f,Solar energy components,"S Environment, E",,1/23/19,Ericksen,,,,,,Ericksen,
SB 5556,,Small-scale capital projects,S State Govt/Tri,,1/23/19,Ericksen,,,,,,Ericksen,
SB 5557,f#,"Seismic hazard risk, reduce",S Ways & Means,,2/15/19,Liias,,,,,Hunt,Liias,
SB 5558,f,DSHS & HCA/interpreters,C 152 L 19,,4/26/19,Saldaña,,,95-1-0-2,,Darneille,Saldaña,
SB 5559,,Civil action commencement,S Law & Justice,,1/24/19,Padden,,,,,,Padden,
SB 5560,,Elected officials/disputes,S subst for,,2/25/19,Padden,,,,,Pedersen,Padden,
SB 5561,f,Greenhouse emissions eval.,"S Environment, E",,1/24/19,Takko,,HB 1549(H Env & Energy),,,Hobbs,Takko,
